scenario,seed,method,category_cate_mse,top_att_mse,rank_att_mse,brier,log_loss,fit_seconds,prediction_seconds,coverage,top_coverage,top_width,diagnostic_failures,max_rhat,min_bulk_ess,min_tail_ess,baseline_gradient,baseline_warnings,baseline_code,attempts,initial_diagnostic_failures
rare_top,91000,ordinal_longbet,0.0004582909375126331,7.4029597672875e-05,0.004099409057415491,0.5394858977837169,1.0419155404468055,254.23687686799985,72.63426512800015,1.0,1.0,0.04709918707671958,0,1.001774042742596,2126.8389584975153,8793.639006163205,,0,,1,0
rare_top,91000,ordinal_spline,0.0017043331427954213,0.00010450684875086959,0.006595398774913921,0.5430288206460645,1.0487991883837675,0.04799999999999993,0.051000000000000045,,,,,,,,2.2526478460349608e-08,0,0,,
rare_top,91000,ordinal_scale,0.0021069111121458134,0.0006265833048021098,0.007382827045189223,0.543641607036047,1.0520793356124096,0.039999999999999925,0.050000000000000044,,,,,,,,3.254782443562476e-09,0,0,,
rare_top,91000,boosted_tree,0.005903690313438155,0.0005925830270316046,0.0036833871180340077,0.5612225084165609,1.0961063418025574,11.951531450000402,0.05748781300007977,,,,,,,,,0,,,
rare_top,91000,binary_longbet,,0.0007559184919340772,,,,100.04358017599952,39.1034638050005,0.8333333333333334,0.8333333333333334,0.07694697158537254,0,1.0091702246671268,770.9967736794758,1973.37075533848,,0,,1,0
rare_top,91001,ordinal_longbet,0.0003931834516135916,6.929069358964521e-05,0.005392715786267065,0.5441858211446218,1.0651215752882288,256.38968898500025,72.12078044900045,1.0,1.0,0.039441554354152975,0,1.0010907830882472,3379.1791103861424,10910.368393235995,,0,,1,0
rare_top,91001,ordinal_spline,0.0015352681509026402,0.0001379043650836071,0.010987630293940046,0.5433155703859798,1.0653695705298671,0.050999999999999934,0.06600000000000006,,,,,,,,7.089894449308076e-09,0,0,,
rare_top,91001,ordinal_scale,0.0017944833863118644,0.0006064358180455568,0.012649494200227505,0.5439002091575418,1.066326739002651,0.04299999999999993,0.14400000000000002,,,,,,,,2.775580465014326e-12,0,0,,
rare_top,91001,boosted_tree,0.0033641420117303694,0.0007520267009235437,0.012359454622283645,0.5656172680280982,1.1215616728027047,12.022937645000638,0.05891913399955229,,,,,,,,,0,,,
rare_top,91001,binary_longbet,,0.0008973249051573255,,,,100.6005839239997,39.28678474300068,1.0,1.0,0.059900375715612096,0,1.004073815121236,1104.2597984439024,6006.915053795284,,0,,1,0
rare_top,91002,ordinal_longbet,0.0012101805796544975,0.0004915885892818481,0.041255401547499924,0.5342121867980704,1.0331343469010412,280.83562743400034,76.28546345300038,0.8666666666666667,0.8333333333333334,0.048357440467084456,0,1.0020272509202344,3468.57799293382,10793.051269517067,,0,,1,0
rare_top,91002,ordinal_spline,0.0027155147248945537,0.0005216044233349995,0.0539402321181859,0.5341959315749586,1.0348692351503461,0.07499999999999996,0.11599999999999988,,,,,,,,3.679314630744557e-10,0,0,,
rare_top,91002,ordinal_scale,0.0029209167234032765,0.00043600167907986665,0.052078622293093346,0.5346139004343173,1.0369275031484912,0.061000000000000165,0.20299999999999985,,,,,,,,5.400124791776761e-13,0,0,,
rare_top,91002,boosted_tree,0.00557610508257542,3.169444861901743e-05,0.026642672809826268,0.5600508545681157,1.0953074150754225,20.757359802000792,0.0871685920001255,,,,,,,,,0,,,
rare_top,91002,binary_longbet,,0.0004788776404010724,,,,104.31320856100047,32.41200344900062,1.0,1.0,0.0727754691421675,0,1.0039486548733074,1675.4747892344399,1722.655189246722,,0,,1,0
rare_top,91003,ordinal_longbet,0.00047310606180265224,2.4577847367017647e-05,0.0024291576256419522,0.543925689363995,1.0625737552253363,262.7249563819996,88.20828694299962,1.0,1.0,0.04660919138031786,0,1.0014402187495222,4419.395707306979,10683.31026946852,,0,,1,0
rare_top,91003,ordinal_spline,0.0014099993244318335,5.088321874181542e-05,0.004335615500490626,0.5459646337581832,1.0674417002206213,0.09200000000000008,0.07200000000000006,,,,,,,,6.248335182590381e-12,0,0,,
rare_top,91003,ordinal_scale,0.0016066276031466572,9.801442537672653e-05,0.004298795497141527,0.5460694878407125,1.0683037973235865,0.05300000000000016,0.06799999999999984,,,,,,,,1.3421735706324155e-11,0,0,,
rare_top,91003,boosted_tree,0.004305897737575584,0.0007813558621685557,0.007674912962744063,0.5665461402568994,1.117467782847718,18.60356712199973,0.08768242000041937,,,,,,,,,0,,,
rare_top,91003,binary_longbet,,0.0007551711541662172,,,,95.98489858599987,26.11587793400031,0.8333333333333334,0.8333333333333334,0.06538698646169598,0,1.0042673816609706,1246.911026814701,5059.5390212334805,,0,,1,0
rare_top,91004,ordinal_longbet,0.0017473263546576724,0.0004574774532233475,0.036139103823372355,0.5421620241089836,1.047195145162383,268.5246531539997,77.01538488999995,0.8666666666666667,0.6666666666666666,0.05282867439193245,0,1.0015658730946644,3940.112310096511,11196.01234702731,,0,,1,0
rare_top,91004,ordinal_spline,0.0027446786778215293,0.0005018352283999195,0.04779644878206734,0.5426336095637675,1.0478288994710188,0.07600000000000007,0.08699999999999997,,,,,,,,4.348095217210357e-10,0,0,,
rare_top,91004,ordinal_scale,0.002965993324712643,0.0006815537114111366,0.04857795945319642,0.5434035250296975,1.0496700462263402,0.17899999999999983,0.07200000000000006,,,,,,,,2.433608869978343e-13,0,0,,
rare_top,91004,boosted_tree,0.004130676208580603,0.0005378362560495478,0.023878092482957646,0.5622656620680748,1.0997602684528,20.42903212500005,0.09159629600071639,,,,,,,,,0,,,
rare_top,91004,binary_longbet,,0.0007259616093163826,,,,107.50433942099971,28.94492882099985,1.0,1.0,0.08789870813877008,0,1.0023307941067763,1407.8932894362492,5577.124328349432,,0,,1,0
rare_top,91005,ordinal_longbet,0.0012043105551449954,9.193700406328417e-05,0.018797816316713078,0.5335979963078715,1.019277103664289,266.5229785829997,72.13233500000024,0.7666666666666667,0.8333333333333334,0.03876929221904981,0,1.0011528024133722,3617.485020555492,10467.523184725302,,0,,1,0
rare_top,91005,ordinal_spline,0.002296264167882874,0.00011666524179132781,0.02476962172499309,0.5316133160681878,1.0164439520157509,0.07900000000000018,0.07599999999999985,,,,,,,,1.8740786700277567e-10,0,0,,
rare_top,91005,ordinal_scale,0.0025363425498029354,0.00016602383062512682,0.024131393616876395,0.5312810336182856,1.0166331011601604,0.07400000000000007,0.07600000000000007,,,,,,,,6.306619180218576e-07,0,0,,
rare_top,91005,boosted_tree,0.003885779122505083,0.0001464189436369801,0.005588985888972233,0.5563912718093211,1.0779483612635916,22.362271053999393,0.1058956799997759,,,,,,,,,0,,,
rare_top,91005,binary_longbet,,0.0002390185514834906,,,,98.54288618999999,27.651103485999556,0.8333333333333334,0.8333333333333334,0.06882901733236695,0,1.003766671145874,1185.474258539406,1573.8716291265023,,0,,1,0
rare_top,91006,ordinal_longbet,0.00039655631273473064,1.2244276652059117e-05,0.0016129356551906303,0.5632202910721477,1.0848394369216325,260.8291402340001,70.8589290330001,1.0,1.0,0.04784175391919628,0,1.0017818759644628,3574.4505401406286,10403.486175534183,,0,,1,0
rare_top,91006,ordinal_spline,0.0010460850025576739,2.0481190573148404e-05,0.0025307470947625167,0.5621360097291721,1.0827908393642403,0.07399999999999984,0.07600000000000007,,,,,,,,1.0438128583700745e-08,0,0,,
rare_top,91006,ordinal_scale,0.0016537336361743791,0.000623266762310944,0.0029308847659384033,0.5633626129907675,1.0847198910708153,0.05400000000000005,0.06799999999999984,,,,,,,,3.7888530789855505e-09,0,0,,
rare_top,91006,boosted_tree,0.0036484075353169694,0.0006500207347806753,0.001979030572054784,0.5840579226731754,1.1366830766728648,19.514947769999708,0.0721704529996714,,,,,,,,,0,,,
rare_top,91006,binary_longbet,,0.0009738939998327635,,,,97.92841098600002,28.88394033500026,1.0,1.0,0.08829756167882197,0,1.0013647863694959,1733.6596062082788,4566.43010480498,,0,,1,0
rare_top,91007,ordinal_longbet,0.0017172851097919108,0.000176550864165602,0.025924934924923603,0.5178988217590251,0.9840393748290145,248.03197271199952,84.66276288999961,0.9333333333333333,1.0,0.03360271258433348,0,1.0019837045258244,1931.539197415634,8390.893887578723,,0,,1,0
rare_top,91007,ordinal_spline,0.0041472449813824966,0.0001679151153505964,0.01856623150673334,0.5223210581244602,0.9931545692422844,0.06799999999999995,0.08499999999999996,,,,,,,,7.130118717668665e-11,0,0,,
rare_top,91007,ordinal_scale,0.004778194751402751,7.569375730927395e-05,0.01715615479502104,0.5233769604276876,0.9935113152220949,0.05400000000000005,0.18900000000000006,,,,,,,,2.493086617888733e-10,0,0,,
rare_top,91007,boosted_tree,0.004829009960555417,0.00011192743517168418,0.016726706143490446,0.5351409408395025,1.0269662558833283,21.09186113099986,0.08394803299961495,,,,,,,,,0,,,
rare_top,91007,binary_longbet,,9.49172924676987e-05,,,,100.33466579800006,27.599426446000507,1.0,1.0,0.07037358310481064,0,1.0051267397732133,989.0062718825014,901.78131075699,,0,,1,0
rare_top,91008,ordinal_longbet,0.0013170841284373743,6.44944546335865e-05,0.013154892722541193,0.5443052012374869,1.05237236702112,268.2133460899995,84.09793225199974,0.7666666666666667,1.0,0.05122776376981627,0,1.0009955763461198,3275.1200937899957,11402.473926771176,,0,,1,0
rare_top,91008,ordinal_spline,0.0021624391924462026,0.0002332527020713959,0.010001379830467762,0.5458465510923567,1.0573518088856306,0.08800000000000008,0.07800000000000007,,,,,,,,5.7448463763876134e-09,0,0,,
rare_top,91008,ordinal_scale,0.0020238231160318925,7.631556335441885e-05,0.010227196309070527,0.5466825335786225,1.0597743924751917,0.06000000000000005,0.07299999999999995,,,,,,,,2.466432669697176e-12,0,0,,
rare_top,91008,boosted_tree,0.0032241919321400504,0.000609042797646754,0.021812125231302017,0.5660225915780532,1.1021447154554262,20.540712555000027,0.08992873799979861,,,,,,,,,0,,,
rare_top,91008,binary_longbet,,0.00039473077409415275,,,,100.51875875100086,26.761006531998646,1.0,1.0,0.07429706178906292,0,1.0030695473179545,1228.9201872458568,3739.795584597563,,0,,1,0
rare_top,91009,ordinal_longbet,0.0005457532714829899,7.863100997269988e-05,0.00852417903601972,0.5465733947873138,1.0603903047597474,267.48024395500033,75.99165447999985,1.0,1.0,0.041021981553263094,0,1.0033355323203546,2376.794136950892,10542.63165256363,,0,,1,0
rare_top,91009,ordinal_spline,0.0015901470936523876,0.00013873148159704277,0.01286727681895502,0.5467377486676912,1.0623770150303182,0.07399999999999984,0.07500000000000018,,,,,,,,1.688447959224959e-08,0,0,,
rare_top,91009,ordinal_scale,0.001891040860181696,8.076872701412056e-05,0.010989454839314261,0.5479208340393343,1.0647464664132913,0.06000000000000005,0.07200000000000006,,,,,,,,1.2025824780437233e-11,0,0,,
rare_top,91009,boosted_tree,0.0038042880280825496,0.0003000277708889532,0.004434543792995325,0.570645984451841,1.128186134063165,20.731688820000272,0.08765288699942175,,,,,,,,,0,,,
rare_top,91009,binary_longbet,,0.00042933282192887467,,,,95.58603205899999,29.29142291000062,1.0,1.0,0.06259792379593511,0,1.0044281105607387,926.8754402510621,2215.878829738145,,0,,1,0
rare_top,91010,ordinal_longbet,0.0008815859570032299,0.00017349474907053566,0.010147212419182169,0.5358770600007531,1.0442279652321933,256.8590080970007,83.49323353,0.8666666666666667,0.8333333333333334,0.031694620814944015,0,1.0009416337205275,4696.607675201037,9402.565206210298,,0,,1,0
rare_top,91010,ordinal_spline,0.0017438799281150777,0.00019477083752744356,0.014247873425436349,0.5352419308768913,1.0436069422450378,0.09599999999999997,0.07299999999999995,,,,,,,,5.222489107836736e-13,0,0,,
rare_top,91010,ordinal_scale,0.0019771574096689028,0.0005742997318746823,0.01578424238713577,0.534759052108132,1.0447465145417663,0.052000000000000046,0.06499999999999995,,,,,,,,4.2278628081332783e-08,0,0,,
rare_top,91010,boosted_tree,0.0038332363937182094,0.0005228836523671526,0.009961223809503221,0.5556852527601363,1.0997927761480688,18.578114217001712,0.08455107000008866,,,,,,,,,0,,,
rare_top,91010,binary_longbet,,0.0004462140032673036,,,,100.46033811100097,26.13933365899902,0.8333333333333334,0.8333333333333334,0.05721982171192689,0,1.0032225292847399,1028.7366851987904,1633.8596697140606,,0,,1,0
rare_top,91011,ordinal_longbet,0.0006370724441960136,0.0001113287356645656,0.009710117798877857,0.5455458190220422,1.061193262972042,272.87171714300166,77.92312518000108,0.9333333333333333,0.8333333333333334,0.042733415911186436,0,1.0032087654808968,3231.1414243538406,10834.602514798282,,0,,1,0
rare_top,91011,ordinal_spline,0.0018103387809296088,0.0001660566888844015,0.014630434370818247,0.5447707412033549,1.0591006816550474,0.07499999999999996,0.07400000000000007,,,,,,,,2.2758405382461433e-07,0,0,,
rare_top,91011,ordinal_scale,0.0024074909469140836,0.0001295772221302755,0.013573231488936644,0.5458490116852427,1.0610111007243554,0.05699999999999994,0.10000000000000009,,,,,,,,2.095501550058998e-11,0,0,,
rare_top,91011,boosted_tree,0.0046035788666976,0.00015728104427967834,0.006050162032679864,0.5720228972991264,1.127155021189039,20.755318358000295,0.08987789599996177,,,,,,,,,0,,,
rare_top,91011,binary_longbet,,0.0004459989379053493,,,,104.46254476300055,28.48066137600108,0.8333333333333334,0.8333333333333334,0.07167538552785113,0,1.0028721312121074,1752.6370944335831,3661.3461999884685,,0,,1,0
rare_top,91012,ordinal_longbet,0.0004674345888930771,2.4222132462705494e-05,0.004028895902749653,0.5784369194891175,1.1059861535208835,788.1266371229995,231.0569300219977,1.0,1.0,0.042801092639811376,0,1.0008670863166722,6728.720730531084,21232.056809736663,,0,,2,29
rare_top,91012,ordinal_spline,0.0012724520030018124,2.3638774417468537e-05,0.008940729854590278,0.5787183940915429,1.1061018951920805,0.09599999999999997,0.06900000000000017,,,,,,,,3.95857568946667e-10,0,0,,
rare_top,91012,ordinal_scale,0.001809799456491452,9.547645163941644e-05,0.0080042203451697,0.5795110415150551,1.1085442261161695,0.04800000000000004,0.06899999999999995,,,,,,,,3.469580178716569e-11,0,0,,
rare_top,91012,boosted_tree,0.004351088695935081,0.00015913433381523374,0.001387575004503,0.6012672306092031,1.1767134171026294,22.32477722800104,0.0782231370012596,,,,,,,,,0,,,
rare_top,91012,binary_longbet,,0.00020103661193438934,,,,107.51589132500158,26.405638493999504,0.8333333333333334,0.8333333333333334,0.07769896028621578,0,1.0026834096972272,1167.1384314109857,1903.6226587577296,,0,,1,0
rare_top,91013,ordinal_longbet,0.0012457610126657935,0.00011217980387936699,0.017077124694041344,0.5260644283613998,1.0219584958085703,262.15551435999987,77.96323180999934,0.8,1.0,0.04763185292810621,0,1.002214609887205,3834.6852768047233,12054.15462511489,,0,,1,0
